Спойлер;Ссылка;Название;Описание
;Браузеры;;
browsers;https://vivaldi.com/ru/android/;Vivaldi;Хороший браузер от ребят из компании Opera
browsers;https://www.opera.com/ru/download;Opera GX;Удобный, настраиваемый простой браузер
browsers;https://www.google.com/chrome/browser/mobile/;Google;Самый прожорливый и самый популярный браузер
browsers;https://www.mozilla.org/ru/firefox/browsers/mobile/;Firefox;Популярный опенсорс браузер на движке Quantum
browsers;https://mobile.yandex.ru/apps/android/browser/;Яндекс;Русский аналог хрому. На движке хрома.
browsers;https://brave.com/ru/download/;Brave;Хороший браузер на базе Firefox'a
browsers;https://mega.nz/file/UkQSBDwI#cv_rHPzasKC7vastID4CwN30hm50LRTlKOuTXXabajc;TorBrowser;Анонимный и безопасный серфинг в сети (Mod)
browsers;https://mega.nz/file/g0BCRLYI#1n5H7z8v-G1cmYIsbnREc1PXHU5dcaYNbX5N_KZsCxs;XBrowser;Очень быстрый, настраеваемый и легкий браузер
;;;
;Социальное;;
social;https://telegram.org/android?setln=ru;Telegram;Оффициальный клиент Telegram
social;https://mega.nz/file/9h5jhaTS#ixYpxxneRXjm5xd7KJ2rJZKx1vuS8JGYxWIE7vDkLTU;Turbotel;Неофициальный и настраиваемый мод Telegram
social;https://mega.nz/file/ghJ2kKRS#tOre-qYF3WmHUWYzFumSjvno1v_HuvG1jJKM89UT2BM;VKmp3;Неофициальный и настраиваемый мод вконтакте
social;https://discord.com/download;Discord;Мессенеджер для гейминга
social;https://media.steampowered.com/steamlink/android/latest/steamlink-android.apk;Steam;Коды для входа в игровой лаунчер и отслеживание своего аккаунта
social;https://www.whatsapp.com/download?lang=ru;Whatsapp;Оффициальный клиент Whatsapp
;;;
;Медиа плееры (Локальные);;
medial;https://mega.nz/file/Mh4lEabL#lSyt8E7vevLocdVWACAqrhoZJXcqKr20HnKt_R-l6QY;VLC;Медиаплеер
medial;https://mega.nz/file/1hBjXJ5K#OhulRaXzqts06guGpE8UlLy-qzdQ7mfOhVP-VbhjnqA;MXplayer;Видеоплеер (Mod)
medial;http://www.aimp.ru/index.php;AIMP;Аудиооплеер
