Спойлер;Ссылка;Название;Описание
;Фавориты;;
fav;https://playvalorant.com/ru-ru/;Valorant;Cоревновательный, тактический шутер с элементами суперспособностей
fav;https://www.warframe.com/ru;Warframe;Кооперативный Action/RPG шутер от третьего лица в сеттинге Sci-Fi
fav;https://vk.com/wildstaronline;WildStar;Очень крутая MMORPG в сеттинге Sci-Fi (Пока еще мертва)
fav;https://m.vsetors.org/6986-valheim.html;Valheim;Симулятор выживания в сеттинге Скандинавии, с уникальной графикой
fav;https://m.vsetors.org/3041-2-red-dead-redemption-2-pc-torrent.html;RDR 2;Western с сюжетом, в открытом мире в сеттинге (Только одиночная игра)
fav;https://m.vsetors.org/176-starbound.html;Starbound;Двухмерная приключенческая песочница с открытой вселенной
fav;https://thelastgame.ru/no-man-s-sky/;No Man’s Sky;Космические приключения в бесконечной вселенной
fav;https://repack-byrutor.org/1629-last-epoch.html;Last Epoch;Игра от фанатов Diablo, еще одна хорошая ARPG
;;;
;Фавориты старички;;
favold;https://byrut.org/659-galaxy-on-fire-2-full-hd.html#other_repacks;Galaxy On Fire 2;Космический Action/RPG от третьего лица портированный с Java платформы
favold;https://lutgholein.ru/;Diablo 2;Изометрическая RPG поджанра Hack&Slash (Батя многих подобных игр)
favold;https://repack-byrutor.org/1384-age-of-empires-2-definitive-edition.html;Age Of Empires 2;Игра в жанре стратегии в реальном времени в сеттинге средневековья
favold;https://mega.nz/folder/ptwCHZZC#TFN5FmGU_-kO5_uPqgaJUw;NFS;Серия Need For speed, старые добрые гонки (MW, U2, Carbon)
favold;https://mega.nz/folder/19hkwCxK#fNW1GhKZZnM_xNCM-74jCA;CoD;Серия Call of Duty, динамичный шутер от первого лица (с MW до BO3)
favold;https://mega.nz/folder/tkgVDABT#K0_AC6myfbZi46SFdyUzqg;Saints Row;Серия игр динамичной пародии на ГТА (5 частей)
;;;
;Одиночные;;
single;https://m.vsetors.org/333-cyberpunk-2077-torrent-na-pc.html;Cyberpunk 2077;Action/RPG шутер в открытом мире, в сеттинге киберпанк
single;https://mega.nz/folder/sgZmBBhR#_sxaePPCBKfp3XzuegE4qw;Deus Ex;Киберпанк с уклоном в сюжет, от первого лица (3 части)
single;https://mega.nz/folder/A1BkTDgD#_cI8tD70OUJzcr1RvTRuhA;Shadowrun;Тактическая сюжетка в сеттинге киберпанк (3 части)
single;https://mega.nz/folder/U9wilS7Y#PJgkixLgZfH0OetLwG5taw;Far Cry;Серия динамичного шутера с интересным сюжетом (8 частей)
single;https://mega.nz/folder/Y8IVBBgL#BXec9Gv6IJzzIpqf0fhMIg;Dishonored;3 части стелс, экшн, рпг с увлекательным геймплеем
