Спойлер;Ссылка;Название;Описание
;Браузеры;;
browsers;https://vivaldi.com/ru/download;Vivaldi;Хороший браузер от ребят из компании Opera
browsers;https://www.opera.com/gx;OperaGX;Браузер для геймеров
browsers;https://u.to/UMLWGw;Google;Самый прожорливый, но так же и самый распространенный браузер
browsers;https://www.mozilla.org/firefox/download/thanks/;Firefox;Браузер на движке Quantum
browsers;https://browser.yandex.ru/download?banerid=6302000000&statpromo=true&bitness=64;Яндекс;Русский аналог хрому. На движке хрома.
browsers;https://www.falkon.org;Falkon;Легкий браузер для слабых компьютеров
browsers;https://floorp.app/en/;Floorp;Хороший браузер на базе Firefox'a с уклоном в гибкость и анонимность
browsers;https://mega.nz/file/px4xmSzY#UxEMT-QV4cKp_JdOzLX2w6vVF9o-Ob7IfV4iFTRKwPE;Tor;Анонимный браузер
browsers;https://ungoogled-software.github.io/ungoogled-chromium-binaries/;Ungoogled Chromium;Тот же Гугл но без слежки и прочего ненужного хлама от самого гугл
;;;
;Важные инструменты;;
impotools;https://mega.nz/file/t9h3TKwL#qkpiaEmPUjwisx-rcrfVgcsHv-EYG0j8AnNrxtnoVZ0;WinRar;Программа архиватор (crack)
impotools;https://www.7-zip.org;7zip;Простая программа архиватор
impotools;https://mega.nz/file/UtxAWRpC#lPRlvZNTGCttNPgdMRNDe-UDWrUpz2d9Km8E8b2kOl4;VisualC Pack;Пачка Visual C++ в одном файле
impotools;https://mega.nz/file/csIxGIhC#A6BzYOGFhWiJuI3Xs0Eq-n7MUp7nQRweU0-1zEGxKo8;DirectX;Оффлайн установщик
impotools;https://sourceforge.net/projects/framework-3-offline/;NetFramework 3;Offline инсталяторы на все версии Windows
impotools;https://www.java.com/ru/download/windows-64bit.jsp;Java 8;Инструмент, необходим для работы некоторых программ/игр
impotools;https://mega.nz/file/R4QgSByZ#1u1HZfQZdbok5nXwlVFiaYPfMZOMo819E3_ztdNBFBM;CPUZ;Утилита для отображения тех. информации о ПК
impotools;https://mega.nz/file/VtZjBSYa#M9sdSlyUWqgNVAbgkZ0nO_yGG-WDVBfd63Ih3PS1zDI;Speccy;Утилита для отображения более детальной информации о ПК
impotools;https://www.radmin-vpn.com;RadminVPN;Программа для создания защищенной сети
impotools;https://mega.nz/file/0xA1zayZ#V_SKCAIGqKbHow6j3_oxtr54x71MrP7lwPL-UW94qi8;qBitTorrent 4.5;Более приближенная альтернатива uTorrent (crack)
impotools;https://mega.nz/file/U9wSkRCR#cFOM5BMzO1wFWF38Yq_Z4fWq7_T8TedQWXT5ooGAYb8;AzTorrent;Альтернатива uTorrent (crack)
impotools;https://mega.nz/file/9hRGEJDa#bBrqrflZqciAtHTe9inPuZziITW-J7B3y4V-vasI_5I;Thunderbird;Самый простой и бесплатный почтовый клиент от Firefox
impotools;https://app.prntscr.com/build/setup-lightshot.exe;Lightshot;Программа для удобной работы со скриншотами
;;;
;Прочие инструменты;;
othertools;https://windhawk.net;WindHawk;Модульный расширяемый твикер для Windows
othertools;https://mega.nz/file/sghQEbqQ#bStDsgI-dCcp7WpbJoqqGyEpdvwz1V18ZcFU38FFmjw;WBPV;Инструмент для просмотра паролей с браузеров на ПК
othertools;https://keepassxc.org/download/;Keepassxc;Программа для хранения паролей в зашифрованном виде
othertools;https://mega.nz/file/4xIRDAAI#CZj78GQiHgxPfuf8CJaRt9_PXQ8SBTWRBGdAKyZ7crs;TinyWall;Маленький но удобный и простой файрволл
othertools;https://mega.nz/file/ogJESZTC#hqD9BgI9dKhdniKp6EHIZUU9I9td97pi8xcBZvfK42k;VMware;Программное обеспечение виртуализации
othertools;https://mega.nz/file/hwxRBAAJ#ghj80rrhIOygFttzSIENOHg5GqMjpZ9xD5PDwcWT5LU;AnyDesk;Программа управления удаленным рабочим столом
othertools;https://rustdesk.com;RustDesk;Аналог AnyDesk, но Open Source
othertools;https://ninite.com;Ninite;Утилита для массовой установки программ
othertools;https://mega.nz/file/E1InxJpY#cn12-Gf-dIf_bvqJNbmHblU6cNRadECVgHzA3CnSug4;Flux;Утилита регулирующяя цветовую температуру
othertools;https://mega.nz/file/Z8wRWKiQ#HYdLO7V-Eduxqg6UHpLjfs1TvkGcjAMH5XXJLkJ-0s0;Stardock Start11;"Менеджер для перенастройки меню ""Пуск"" (crack)"
othertools;https://www.bluestacks.com/ru/index.html;BlueStacks;Эмулятор андроида для пк
othertools;https://4pda.to/forum/index.php?s=&showtopic=99949&view=findpost&p=2141050;KEmulator;Эмулятор java для пк
othertools;https://mega.nz/file/N8BRyRyb#B3x66sOW8eR8EsYa3zXQ6Bxxf_HAU3pvXUeIH7mMMCY;SoundPad;Программа для передачи звуков в микрофон (crack)
;;;
;Офисное/текст редакторы;;
officetext;https://mega.nz/file/Bk43HSIY#1Oph8seIrxmk8MrOrr2YbA-E3oOcusAlBu98R3PRKFI;MS office 2010;Пакет продуктов Ms office (crack)
officetext;https://mega.nz/file/c8AmSZZZ#Zw9zmUNWIqrW-ioNaZKXCVFJglimpQbIo9YQmIK33g8;MS office 2013-2021;Онлайн установщик продуктов Ms office (crack)
officetext;https://mega.nz/file/Q9JXjJKK#_tMSAi30TUrdBMYqMNnc3INJi0oLA1SUG6X97to8aUs;Office Installer+;Простая утилита для установки и активации офиса 2016/2019/2021/2024
officetext;https://mega.nz/file/JwhBCBRZ#mjBfYhPuWjTxxtv6IglaBQ2ugu25QZV-Bo4ETZk17Q4;OfficeRtool;Консольная простая утилита для установки и активации офиса 2016/2019/2021
officetext;https://www.libreoffice.org/download/download-libreoffice/;LibreOffice;Программа 3в1 - Word, PowerPoint, Exel (Простой аналог MSoffice)
officetext;https://vscodium.com;VScodium;Тот же Visual Studio Code от MS но с вырезанной слежкой и прочим хламом
officetext;https://notepad-plus-plus.org/downloads/;Notepad++;Простой и удобный текстовый редактор
officetext;https://github.com/atom/atom/releases/tag/v1.61.0-beta0;Atom;Редакор кода, удобная и упрощенная альтернатива VScode
;;;
;Оптимизация системы;;
